game_id,pair_id,agent,opponent,agent_is_first,result,result_label,moves_agent,moves_total,complexity_total_ns,response_time_mean_ms,response_time_min_ms,response_time_max_ms,available_actions_mean,available_actions_min,available_actions_max,random_seed
1,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,4,9,112700,0.028175,0.0225,0.0395,7.0,7,7,3523417962181357571
1,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,5,9,707500,0.1415,0.1246,0.1967,7.0,7,7,3523417962181357571
2,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,9,18,216200,0.024022222222222223,0.0222,0.0303,6.888888888888889,6,7,7629093851655777169
2,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,9,18,1535700,0.17063333333333333,0.1106,0.2515,6.777777777777778,6,7,7629093851655777169
3,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,256500,0.02331818181818182,0.0206,0.0406,7.0,7,7,9000249537592615419
3,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1680300,0.15275454545454545,0.1107,0.2226,7.0,7,7,9000249537592615419
4,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,8,16,178100,0.0222625,0.0206,0.0277,7.0,7,7,712275171732334889
4,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,8,16,1089400,0.136175,0.1066,0.1987,7.0,7,7,712275171732334889
5,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,9,19,189900,0.0211,0.0205,0.022,7.0,7,7,8481401626322182411
5,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,10,19,1324600,0.13246,0.1006,0.1569,7.0,7,7,8481401626322182411
6,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,9,19,221300,0.02458888888888889,0.0193,0.0566,7.0,7,7,6233796446229364300
6,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,10,19,1466800,0.14668,0.1001,0.1836,7.0,7,7,6233796446229364300
7,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,7,14,144200,0.0206,0.0187,0.0267,7.0,7,7,3592900242337205963
7,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,7,14,813500,0.11621428571428571,0.1013,0.1337,7.0,7,7,3592900242337205963
8,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,4,9,78300,0.019575,0.019,0.0203,7.0,7,7,2123400646360511245
8,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,5,9,503300,0.10066,0.0907,0.1109,7.0,7,7,2123400646360511245
9,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,10,20,205400,0.02054,0.0193,0.0257,7.0,7,7,1415201268479599734
9,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,10,20,1400900,0.14009,0.1002,0.2074,7.0,7,7,1415201268479599734
10,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,13,27,262400,0.020184615384615384,0.0187,0.0265,7.0,7,7,8984410154720027618
10,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,14,27,2484200,0.17744285714285712,0.0933,0.3361,7.0,7,7,8984410154720027618
11,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,11,22,242600,0.022054545454545455,0.0205,0.0252,7.0,7,7,582399631688917937
11,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,11,22,1755200,0.15956363636363635,0.1127,0.2735,7.0,7,7,582399631688917937
12,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,5,11,101500,0.0203,0.0197,0.021,7.0,7,7,4534085034399975293
12,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,6,11,707800,0.11796666666666668,0.1058,0.1321,7.0,7,7,4534085034399975293
13,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,8,16,177400,0.022175,0.019,0.0336,7.0,7,7,1951816147979427667
13,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,8,16,1168500,0.1460625,0.1147,0.1832,7.0,7,7,1951816147979427667
14,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,6,13,130700,0.02178333333333333,0.0192,0.0247,7.0,7,7,1913226021618432756
14,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,7,13,876500,0.12521428571428572,0.1004,0.1565,7.0,7,7,1913226021618432756
15,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,7,15,140200,0.020028571428571427,0.0188,0.0218,7.0,7,7,5449631782331559644
15,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,8,15,1059600,0.13245,0.0953,0.1831,6.875,6,7,5449631782331559644
16,Random_vs_RandomBeater1,Random,RandomBeater1,1,-1,loss,5,10,101200,0.02024,0.019,0.0237,7.0,7,7,8190949193184944724
16,Random_vs_RandomBeater1,RandomBeater1,Random,0,1,win,5,10,531400,0.10628,0.094,0.1187,7.0,7,7,8190949193184944724
17,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,10,21,201500,0.02015,0.019,0.0218,7.0,7,7,4577579269356886932
17,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,11,21,1505700,0.1368818181818182,0.0943,0.1739,7.0,7,7,4577579269356886932
18,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,10,21,207700,0.02077,0.0193,0.0249,7.0,7,7,2675997806280135025
18,Random_vs_RandomBeater1,RandomBeater1,Random,1,1,win,11,21,1628900,0.14808181818181818,0.0978,0.1966,7.0,7,7,2675997806280135025
19,Random_vs_RandomBeater1,Random,RandomBeater1,0,-1,loss,4,9,82500,0.020625,0.0196,0.0215,7.0,7,7,8748548043264407070
